# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT3011	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_22	0	1	0.145665	na	na	na
MSBT2995	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HCTV_10	0	1	0.143201	na	na	na
MSBT2932	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_Hardycor2	0	1	0.147804	na	na	na
MSBT3006	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_18	0	1	0.145168	na	na	na
MSBT1785	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_hv8	0	2	0.153084	na	na	na
MSBT3015	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_9	0	1	0.145222	na	na	na
MSBT3012	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_23	0	1	0.145823	na	na	na
MSBT942	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloferacalesvirus_HF1	0	1	0.145261	na	na	na
MSBT3014	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_26	0	1	0.147042	na	na	na
MSBT3004	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_15	0	1	0.142943	na	na	na
MSBT3013	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_24	0	1	0.145479	na	na	na
MSBT3000	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Haloarcula_virus_HJTV_1	0	1	0.146506	na	na	na
MSBT3009	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HRTV_20	0	1	0.14515	na	na	na
MSBT3016	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Hafunaviridae|g__Haloferacalesvirus|s__Halorubrum_virus_HSTV_3	0	1	0.144263	na	na	na
