# report v0.1.0 (Mar 6, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-03-30 17:10:30.520239
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT2562	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Three_spot_gourami_iridovirus	0	1	0.091142	0.0	0.0	0.0
MSBT1821	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Invertebrate_iridovirus_22	0	1	0.10541	0.0	0.0	0.0
MSBT1917	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Anopheles_minimus_iridovirus	0	1	0.122071	0.0	0.0	0.0
MSBT1822	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Invertebrate_iridovirus_25	0	1	0.117802	0.0	0.0	0.0
MSBT1482	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Marseillevirus_marseillevirus	0	1	0.201107	0.0	0.0	0.0
MSBT2264	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Noumeavirus	0	1	0.204529	0.0	0.0	0.0
MSBT2269	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Kurlavirus_BKC_1	0	1	0.200064	0.0	0.0	0.0
MSBT2563	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Marseillevirus_Shanghai_1	0	1	0.20021	0.0	0.0	0.0
MSBT2085	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Golden_Marseillevirus	0	1	0.20195	0.0	0.0	0.0
MSBT2140	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Tokyovirus_A1	0	1	0.199871	0.0	0.0	0.0
MSBT2129	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Brazilian_marseillevirus	0	1	0.199535	0.0	0.0	0.0
MSBT1986	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Melbournevirus	0	1	0.201067	0.0	0.0	0.0
MSBT1875	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Cannes_8_virus	0	1	0.201539	0.0	0.0	0.0
MSBT2535	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Trichoplusia_ni_ascovirus_6b	0	1	0.134345	0.0	0.0	0.0
MSBT2719	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Heliothis_virescens_ascovirus_3i	0	1	0.160469	0.0	0.0	0.0
MSBT706	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Spodoptera_frugiperda_ascovirus_1a	0	1	0.11762	0.0	0.0	0.0
